max # buckets,actual # buckets,ground truth split strategy,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
13,13,depth-count,2.3556816117859927,0.1215456709560694,52,42.375,16.875,1300.0,0.0,(<class '__main__.FineGrainedBucket'> : 3.003394731915795) (<class '__main__.FineGrainedBucket'> : 4.371255417846726) (<class '__main__.FineGrainedBucket'> : 2.1602130317405814) (<class '__main__.FineGrainedBucket'> : 3.741765311473664) (<class '__main__.FineGrainedBucket'> : 3.0949377174739534) (<class '__main__.FineGrainedBucket'> : 2.6165544473220494) (<class '__main__.FineGrainedBucket'> : 2.343736187156324) (<class '__main__.FineGrainedBucket'> : 2.829311575959564) (<class '__main__.FineGrainedBucket'> : 2.3991641136814974) (<class '__main__.FineGrainedBucket'> : 3.154877857936886) (<class '__main__.FineGrainedBucket'> : 3.2065178728596413) (<class '__main__.FineGrainedBucket'> : 1.9672129922589143) (<class '__main__.FineGrainedBucket'> : 1.6753991873680434) 
14,14,depth-count,2.202761030391085,0.13089533795269012,56,45.63461538461539,18.173076923076923,1400.0,0.0,(<class '__main__.FineGrainedBucket'> : 2.334750131242367) (<class '__main__.FineGrainedBucket'> : 4.590015342436378) (<class '__main__.FineGrainedBucket'> : 2.6401766909804865) (<class '__main__.FineGrainedBucket'> : 2.4290832119773427) (<class '__main__.FineGrainedBucket'> : 3.463941187175962) (<class '__main__.FineGrainedBucket'> : 2.8513242234790486) (<class '__main__.FineGrainedBucket'> : 1.9319389320378926) (<class '__main__.FineGrainedBucket'> : 3.288448159138394) (<class '__main__.FineGrainedBucket'> : 2.258885115402413) (<class '__main__.FineGrainedBucket'> : 1.8667285856094948) (<class '__main__.FineGrainedBucket'> : 3.8780802557015925) (<class '__main__.FineGrainedBucket'> : 3.0595814226929074) (<class '__main__.FineGrainedBucket'> : 2.4036606529916242) (<class '__main__.FineGrainedBucket'> : 1.6960716989508478) 
15,15,depth-count,2.127946548039206,0.14024500494931083,60,48.89423076923077,19.471153846153847,1500.0,0.0,(<class '__main__.FineGrainedBucket'> : 2.215012073043263) (<class '__main__.FineGrainedBucket'> : 5.1458206420207535) (<class '__main__.FineGrainedBucket'> : 2.1356855637925265) (<class '__main__.FineGrainedBucket'> : 1.5409483021921049) (<class '__main__.FineGrainedBucket'> : 2.897341134660399) (<class '__main__.FineGrainedBucket'> : 3.283455828501665) (<class '__main__.FineGrainedBucket'> : 2.839423445977517) (<class '__main__.FineGrainedBucket'> : 2.317808998120361) (<class '__main__.FineGrainedBucket'> : 2.6769188455471253) (<class '__main__.FineGrainedBucket'> : 1.8175713569985739) (<class '__main__.FineGrainedBucket'> : 3.081743942165637) (<class '__main__.FineGrainedBucket'> : 4.1332904599495786) (<class '__main__.FineGrainedBucket'> : 3.0103300950932677) (<class '__main__.FineGrainedBucket'> : 2.095954727228136) (<class '__main__.FineGrainedBucket'> : 1.6234492808452103) 
16,16,depth-count,2.1675257817097124,0.14959467194593157,64,52.15384615384615,20.76923076923077,1600.0,0.0,(<class '__main__.FineGrainedBucket'> : 2.1455057449071258) (<class '__main__.FineGrainedBucket'> : 4.6473495907375675) (<class '__main__.FineGrainedBucket'> : 2.8970523130134636) (<class '__main__.FineGrainedBucket'> : 2.097185402455712) (<class '__main__.FineGrainedBucket'> : 2.4419793671578494) (<class '__main__.FineGrainedBucket'> : 3.82536447531313) (<class '__main__.FineGrainedBucket'> : 2.3242053250084) (<class '__main__.FineGrainedBucket'> : 1.7188311976336614) (<class '__main__.FineGrainedBucket'> : 2.3516464193555238) (<class '__main__.FineGrainedBucket'> : 2.808934271260059) (<class '__main__.FineGrainedBucket'> : 1.5775455929919882) (<class '__main__.FineGrainedBucket'> : 3.7484241262604705) (<class '__main__.FineGrainedBucket'> : 3.0786834867052515) (<class '__main__.FineGrainedBucket'> : 2.9543590704287146) (<class '__main__.FineGrainedBucket'> : 1.9759786382745657) (<class '__main__.FineGrainedBucket'> : 1.5542459419565355) 
17,17,depth-count,1.9528859460342096,0.15894433894255228,68,55.41346153846154,22.067307692307693,1700.0,0.0,(<class '__main__.FineGrainedBucket'> : 2.0842698749636313) (<class '__main__.FineGrainedBucket'> : 4.222164941512512) (<class '__main__.FineGrainedBucket'> : 2.644806093854174) (<class '__main__.FineGrainedBucket'> : 1.9177588247849464) (<class '__main__.FineGrainedBucket'> : 2.7586662463968636) (<class '__main__.FineGrainedBucket'> : 3.4693384111205408) (<class '__main__.FineGrainedBucket'> : 2.6625250616941103) (<class '__main__.FineGrainedBucket'> : 2.557961178973879) (<class '__main__.FineGrainedBucket'> : 2.2893992572652855) (<class '__main__.FineGrainedBucket'> : 2.609291915555562) (<class '__main__.FineGrainedBucket'> : 1.6049746788421093) (<class '__main__.FineGrainedBucket'> : 1.728580108144035) (<class '__main__.FineGrainedBucket'> : 3.4758468366453297) (<class '__main__.FineGrainedBucket'> : 2.8639896078564706) (<class '__main__.FineGrainedBucket'> : 2.4323621535464026) (<class '__main__.FineGrainedBucket'> : 1.8546733290841602) (<class '__main__.FineGrainedBucket'> : 1.4856723970457952) 
18,18,depth-count,2.004701977533797,0.168294005939173,72,58.67307692307693,23.365384615384617,1800.0,0.0,(<class '__main__.FineGrainedBucket'> : 2.0524464893099026) (<class '__main__.FineGrainedBucket'> : 3.780118494975842) (<class '__main__.FineGrainedBucket'> : 3.4371312403038) (<class '__main__.FineGrainedBucket'> : 1.986526349789516) (<class '__main__.FineGrainedBucket'> : 1.8600988221214334) (<class '__main__.FineGrainedBucket'> : 3.2385404506439066) (<class '__main__.FineGrainedBucket'> : 3.1970538525196583) (<class '__main__.FineGrainedBucket'> : 2.3888263872398254) (<class '__main__.FineGrainedBucket'> : 1.6986387639992022) (<class '__main__.FineGrainedBucket'> : 2.324447528760255) (<class '__main__.FineGrainedBucket'> : 2.619099487836762) (<class '__main__.FineGrainedBucket'> : 1.8800434402184725) (<class '__main__.FineGrainedBucket'> : 2.585031776251759) (<class '__main__.FineGrainedBucket'> : 3.9455994976281428) (<class '__main__.FineGrainedBucket'> : 2.735246121769701) (<class '__main__.FineGrainedBucket'> : 2.8440720376606916) (<class '__main__.FineGrainedBucket'> : 1.7523766804395187) (<class '__main__.FineGrainedBucket'> : 1.4236705097623896) 
19,19,depth-count,1.8288447626993636,0.17764367293579372,76,61.93269230769231,24.66346153846154,1900.0,0.0,(<class '__main__.FineGrainedBucket'> : 2.021679209113273) (<class '__main__.FineGrainedBucket'> : 3.4167568080799793) (<class '__main__.FineGrainedBucket'> : 4.064879315209359) (<class '__main__.FineGrainedBucket'> : 1.5034899768815988) (<class '__main__.FineGrainedBucket'> : 1.5088681201275778) (<class '__main__.FineGrainedBucket'> : 3.1554794997464004) (<class '__main__.FineGrainedBucket'> : 3.4860989968886558) (<class '__main__.FineGrainedBucket'> : 1.7639856023877827) (<class '__main__.FineGrainedBucket'> : 2.302862578809164) (<class '__main__.FineGrainedBucket'> : 2.2624776859960147) (<class '__main__.FineGrainedBucket'> : 2.317510490436248) (<class '__main__.FineGrainedBucket'> : 1.6912810032581527) (<class '__main__.FineGrainedBucket'> : 1.2885246222283635) (<class '__main__.FineGrainedBucket'> : 3.0678590459179924) (<class '__main__.FineGrainedBucket'> : 3.776919366115675) (<class '__main__.FineGrainedBucket'> : 2.6790153599810886) (<class '__main__.FineGrainedBucket'> : 2.331068413235114) (<class '__main__.FineGrainedBucket'> : 1.6496619411566589) (<class '__main__.FineGrainedBucket'> : 1.3648154087141346) 
20,20,depth-count,1.7031006888985378,0.18699333993241443,80,65.1923076923077,25.961538461538463,2000.0,0.0,(<class '__main__.FineGrainedBucket'> : 1.3850072760886623) (<class '__main__.FineGrainedBucket'> : 3.0842925989352272) (<class '__main__.FineGrainedBucket'> : 3.191209058217674) (<class '__main__.FineGrainedBucket'> : 1.704744129057794) (<class '__main__.FineGrainedBucket'> : 1.9065988150060478) (<class '__main__.FineGrainedBucket'> : 1.9689461109924649) (<class '__main__.FineGrainedBucket'> : 3.480853614695405) (<class '__main__.FineGrainedBucket'> : 2.51460155077525) (<class '__main__.FineGrainedBucket'> : 2.3337942545623402) (<class '__main__.FineGrainedBucket'> : 1.6964981580705603) (<class '__main__.FineGrainedBucket'> : 2.2998868130642784) (<class '__main__.FineGrainedBucket'> : 2.248214719830158) (<class '__main__.FineGrainedBucket'> : 1.5491688014292946) (<class '__main__.FineGrainedBucket'> : 1.5978463131562202) (<class '__main__.FineGrainedBucket'> : 3.129924950551981) (<class '__main__.FineGrainedBucket'> : 2.6338380957464684) (<class '__main__.FineGrainedBucket'> : 2.352188428232794) (<class '__main__.FineGrainedBucket'> : 1.8614906852891457) (<class '__main__.FineGrainedBucket'> : 1.5486591813809292) (<class '__main__.FineGrainedBucket'> : 1.3028812517245694) 
21,21,depth-count,1.638081558822876,0.1963430069290352,84,68.45192307692308,27.259615384615383,2100.0,0.0,(<class '__main__.FineGrainedBucket'> : 1.365608681237406) (<class '__main__.FineGrainedBucket'> : 2.7839089582802026) (<class '__main__.FineGrainedBucket'> : 3.711680252864036) (<class '__main__.FineGrainedBucket'> : 2.113231111279634) (<class '__main__.FineGrainedBucket'> : 1.8638731464101799) (<class '__main__.FineGrainedBucket'> : 1.8590216965481188) (<class '__main__.FineGrainedBucket'> : 3.374219336402904) (<class '__main__.FineGrainedBucket'> : 2.645929471097375) (<class '__main__.FineGrainedBucket'> : 2.531431455158871) (<class '__main__.FineGrainedBucket'> : 2.0617208830176295) (<class '__main__.FineGrainedBucket'> : 2.2406000832067865) (<class '__main__.FineGrainedBucket'> : 2.4338107950414116) (<class '__main__.FineGrainedBucket'> : 1.4190202918752843) (<class '__main__.FineGrainedBucket'> : 1.219906418889923) (<class '__main__.FineGrainedBucket'> : 2.20125767368546) (<class '__main__.FineGrainedBucket'> : 2.6243204156097226) (<class '__main__.FineGrainedBucket'> : 2.8552383886437296) (<class '__main__.FineGrainedBucket'> : 3.0761031402230135) (<class '__main__.FineGrainedBucket'> : 1.4261137911516184) (<class '__main__.FineGrainedBucket'> : 1.4548374100957886) (<class '__main__.FineGrainedBucket'> : 1.2466562235014207) 
22,22,depth-count,1.5350089045886584,0.20569267392565593,88,71.71153846153845,28.557692307692307,2200.0,0.0,(<class '__main__.FineGrainedBucket'> : 1.3458538648090201) (<class '__main__.FineGrainedBucket'> : 2.5116347542327855) (<class '__main__.FineGrainedBucket'> : 2.711475719576727) (<class '__main__.FineGrainedBucket'> : 2.4015239554884915) (<class '__main__.FineGrainedBucket'> : 1.8448249445283014) (<class '__main__.FineGrainedBucket'> : 1.0622331730795487) (<class '__main__.FineGrainedBucket'> : 3.04808724464322) (<class '__main__.FineGrainedBucket'> : 2.3598084852400367) (<class '__main__.FineGrainedBucket'> : 1.947014985822077) (<class '__main__.FineGrainedBucket'> : 2.1002747601127725) (<class '__main__.FineGrainedBucket'> : 1.6940815272203924) (<class '__main__.FineGrainedBucket'> : 2.2696917578759774) (<class '__main__.FineGrainedBucket'> : 2.118825267406257) (<class '__main__.FineGrainedBucket'> : 1.3558864364738414) (<class '__main__.FineGrainedBucket'> : 1.2868307689505112) (<class '__main__.FineGrainedBucket'> : 2.549070479965403) (<class '__main__.FineGrainedBucket'> : 2.693420177965943) (<class '__main__.FineGrainedBucket'> : 2.453419464489374) (<class '__main__.FineGrainedBucket'> : 2.8248217064308996) (<class '__main__.FineGrainedBucket'> : 1.2907524683403682) (<class '__main__.FineGrainedBucket'> : 1.3650091241314342) (<class '__main__.FineGrainedBucket'> : 1.1937020290958755) 
