max # buckets,actual # buckets,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
12,12,238.54099042971706,0.05073363217032625,12,11.134615384615385,8.682692307692308,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 20.99996607810872) (<class '__main__.CoarseGrainedSimpleBucket'> : 16.999972697014464) (<class '__main__.CoarseGrainedSimpleBucket'> : 41.99993132885356) (<class '__main__.CoarseGrainedSimpleBucket'> : 386.999360448233) (<class '__main__.CoarseGrainedSimpleBucket'> : 492.9991850472307) (<class '__main__.CoarseGrainedSimpleBucket'> : 330.99945311291344) (<class '__main__.CoarseGrainedSimpleBucket'> : 326.9994597318192) (<class '__main__.CoarseGrainedSimpleBucket'> : 241.99960038356627) (<class '__main__.CoarseGrainedSimpleBucket'> : 107.99982211690876) (<class '__main__.CoarseGrainedSimpleBucket'> : 27.99995449502367) (<class '__main__.CoarseGrainedSimpleBucket'> : 2.999995863184479) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999991726384931) 
13,13,220.19634080135032,0.05496143485118676,13,12.0625,9.40625,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 18.999966836577705) (<class '__main__.CoarseGrainedSimpleBucket'> : 15.999972214380286) (<class '__main__.CoarseGrainedSimpleBucket'> : 21.99996145865623) (<class '__main__.CoarseGrainedSimpleBucket'> : 251.99954915590055) (<class '__main__.CoarseGrainedSimpleBucket'> : 466.999163742455) (<class '__main__.CoarseGrainedSimpleBucket'> : 380.99931790783324) (<class '__main__.CoarseGrainedSimpleBucket'> : 291.99947745107346) (<class '__main__.CoarseGrainedSimpleBucket'> : 284.9994899994182) (<class '__main__.CoarseGrainedSimpleBucket'> : 173.99968898031335) (<class '__main__.CoarseGrainedSimpleBucket'> : 73.99986824238104) (<class '__main__.CoarseGrainedSimpleBucket'> : 14.99997400700096) (<class '__main__.CoarseGrainedSimpleBucket'> : 1.999997311069587) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999991036916699) 
14,14,204.76877124391456,0.05918923753204728,14,12.990384615384615,10.129807692307692,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 18.999964285542827) (<class '__main__.CoarseGrainedSimpleBucket'> : 11.999977799121545) (<class '__main__.CoarseGrainedSimpleBucket'> : 16.999968146503825) (<class '__main__.CoarseGrainedSimpleBucket'> : 155.9996998049224) (<class '__main__.CoarseGrainedSimpleBucket'> : 412.99920366257396) (<class '__main__.CoarseGrainedSimpleBucket'> : 400.99922682875365) (<class '__main__.CoarseGrainedSimpleBucket'> : 272.9994739346704) (<class '__main__.CoarseGrainedSimpleBucket'> : 289.99944111591583) (<class '__main__.CoarseGrainedSimpleBucket'> : 228.99955887732924) (<class '__main__.CoarseGrainedSimpleBucket'> : 130.99974806779676) (<class '__main__.CoarseGrainedSimpleBucket'> : 46.999910231054606) (<class '__main__.CoarseGrainedSimpleBucket'> : 8.999983590623597) (<class '__main__.CoarseGrainedSimpleBucket'> : 1.999997104228237) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.999999034744842) 
15,15,191.63987915639814,0.06341704021290781,15,13.918269230769232,10.853365384615385,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 18.999961734444284) (<class '__main__.CoarseGrainedSimpleBucket'> : 10.99997828171205) (<class '__main__.CoarseGrainedSimpleBucket'> : 12.999974144895111) (<class '__main__.CoarseGrainedSimpleBucket'> : 76.99984176675284) (<class '__main__.CoarseGrainedSimpleBucket'> : 346.999283296465) (<class '__main__.CoarseGrainedSimpleBucket'> : 392.99918814967526) (<class '__main__.CoarseGrainedSimpleBucket'> : 317.99934328031077) (<class '__main__.CoarseGrainedSimpleBucket'> : 252.99947772686153) (<class '__main__.CoarseGrainedSimpleBucket'> : 242.99949841094625) (<class '__main__.CoarseGrainedSimpleBucket'> : 185.99961631022924) (<class '__main__.CoarseGrainedSimpleBucket'> : 95.99980246699185) (<class '__main__.CoarseGrainedSimpleBucket'> : 37.9999224346833) (<class '__main__.CoarseGrainedSimpleBucket'> : 2.9999948289797076) (<class '__main__.CoarseGrainedSimpleBucket'> : 1.999996897388092) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999989657984373) 
16,16,180.33751488025706,0.06764484289376832,16,14.846153846153845,11.576923076923077,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 16.999963596049696) (<class '__main__.CoarseGrainedSimpleBucket'> : 11.999974627550133) (<class '__main__.CoarseGrainedSimpleBucket'> : 11.999974627550133) (<class '__main__.CoarseGrainedSimpleBucket'> : 38.99991505744774) (<class '__main__.CoarseGrainedSimpleBucket'> : 255.99943629032825) (<class '__main__.CoarseGrainedSimpleBucket'> : 388.9991428524163) (<class '__main__.CoarseGrainedSimpleBucket'> : 328.9992752304217) (<class '__main__.CoarseGrainedSimpleBucket'> : 236.99947821002996) (<class '__main__.CoarseGrainedSimpleBucket'> : 262.99942084494984) (<class '__main__.CoarseGrainedSimpleBucket'> : 207.9995421917225) (<class '__main__.CoarseGrainedSimpleBucket'> : 138.99969442676456) (<class '__main__.CoarseGrainedSimpleBucket'> : 66.99985328072152) (<class '__main__.CoarseGrainedSimpleBucket'> : 26.999941532919816) (<class '__main__.CoarseGrainedSimpleBucket'> : 2.99999448423862) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999988968481296) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999988968505635) 
17,17,169.38639870536275,0.07187264557462884,17,15.774038461538462,12.300480769230768,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 16.999961320768215) (<class '__main__.CoarseGrainedSimpleBucket'> : 11.99997304174793) (<class '__main__.CoarseGrainedSimpleBucket'> : 11.99997304174793) (<class '__main__.CoarseGrainedSimpleBucket'> : 20.999951943984435) (<class '__main__.CoarseGrainedSimpleBucket'> : 177.99958390522085) (<class '__main__.CoarseGrainedSimpleBucket'> : 347.9991853919099) (<class '__main__.CoarseGrainedSimpleBucket'> : 337.9992088338694) (<class '__main__.CoarseGrainedSimpleBucket'> : 269.99936823919376) (<class '__main__.CoarseGrainedSimpleBucket'> : 220.99948310479513) (<class '__main__.CoarseGrainedSimpleBucket'> : 223.9994760722073) (<class '__main__.CoarseGrainedSimpleBucket'> : 185.9995651516533) (<class '__main__.CoarseGrainedSimpleBucket'> : 101.99976206411279) (<class '__main__.CoarseGrainedSimpleBucket'> : 49.999883962302) (<class '__main__.CoarseGrainedSimpleBucket'> : 16.999961320768215) (<class '__main__.CoarseGrainedSimpleBucket'> : 1.9999964837071105) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.999998827899966) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999988279027135) 
18,18,160.48572108732245,0.07610044825548937,18,16.701923076923077,13.024038461538462,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 15.99996152762776) (<class '__main__.CoarseGrainedSimpleBucket'> : 9.999976420159499) (<class '__main__.CoarseGrainedSimpleBucket'> : 11.999971455982255) (<class '__main__.CoarseGrainedSimpleBucket'> : 13.999966491805008) (<class '__main__.CoarseGrainedSimpleBucket'> : 109.99972821129677) (<class '__main__.CoarseGrainedSimpleBucket'> : 304.9992442040143) (<class '__main__.CoarseGrainedSimpleBucket'> : 333.99917222344413) (<class '__main__.CoarseGrainedSimpleBucket'> : 290.9992789532551) (<class '__main__.CoarseGrainedSimpleBucket'> : 198.99950730540888) (<class '__main__.CoarseGrainedSimpleBucket'> : 239.99940553977515) (<class '__main__.CoarseGrainedSimpleBucket'> : 185.99953957256105) (<class '__main__.CoarseGrainedSimpleBucket'> : 142.99964630237207) (<class '__main__.CoarseGrainedSimpleBucket'> : 88.99978033461272) (<class '__main__.CoarseGrainedSimpleBucket'> : 34.99991436773131) (<class '__main__.CoarseGrainedSimpleBucket'> : 11.999971455911405) (<class '__main__.CoarseGrainedSimpleBucket'> : 2.9999937947643116) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999987589564562) 
19,19,152.36063735807724,0.08032825093634988,19,17.629807692307693,13.747596153846153,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 15.99995939033263) (<class '__main__.CoarseGrainedSimpleBucket'> : 8.999977730183119) (<class '__main__.CoarseGrainedSimpleBucket'> : 9.999975110139271) (<class '__main__.CoarseGrainedSimpleBucket'> : 12.999967250182756) (<class '__main__.CoarseGrainedSimpleBucket'> : 60.999841490878254) (<class '__main__.CoarseGrainedSimpleBucket'> : 239.9993725134717) (<class '__main__.CoarseGrainedSimpleBucket'> : 337.9991157548916) (<class '__main__.CoarseGrainedSimpleBucket'> : 289.99924151419617) (<class '__main__.CoarseGrainedSimpleBucket'> : 224.99941181325437) (<class '__main__.CoarseGrainedSimpleBucket'> : 201.99947207292115) (<class '__main__.CoarseGrainedSimpleBucket'> : 201.99947207292115) (<class '__main__.CoarseGrainedSimpleBucket'> : 170.999553292472) (<class '__main__.CoarseGrainedSimpleBucket'> : 120.99968429174757) (<class '__main__.CoarseGrainedSimpleBucket'> : 59.99984411086377) (<class '__main__.CoarseGrainedSimpleBucket'> : 31.999917470458076) (<class '__main__.CoarseGrainedSimpleBucket'> : 6.999982970095768) (<class '__main__.CoarseGrainedSimpleBucket'> : 1.99999607002302) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999986900115345) 
20,20,144.4367762346403,0.0845560536172104,20,18.557692307692307,14.471153846153847,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 15.999957252878655) (<class '__main__.CoarseGrainedSimpleBucket'> : 8.999976558031015) (<class '__main__.CoarseGrainedSimpleBucket'> : 8.999976558031015) (<class '__main__.CoarseGrainedSimpleBucket'> : 8.999976558031015) (<class '__main__.CoarseGrainedSimpleBucket'> : 36.99989933742147) (<class '__main__.CoarseGrainedSimpleBucket'> : 195.99946083467395) (<class '__main__.CoarseGrainedSimpleBucket'> : 293.99919056254026) (<class '__main__.CoarseGrainedSimpleBucket'> : 289.99920159405593) (<class '__main__.CoarseGrainedSimpleBucket'> : 256.9992926040601) (<class '__main__.CoarseGrainedSimpleBucket'> : 173.99952150801008) (<class '__main__.CoarseGrainedSimpleBucket'> : 214.99940843497455) (<class '__main__.CoarseGrainedSimpleBucket'> : 167.99953805528358) (<class '__main__.CoarseGrainedSimpleBucket'> : 156.99956839195164) (<class '__main__.CoarseGrainedSimpleBucket'> : 89.99975316983897) (<class '__main__.CoarseGrainedSimpleBucket'> : 46.99987175863232) (<class '__main__.CoarseGrainedSimpleBucket'> : 25.999929674089522) (<class '__main__.CoarseGrainedSimpleBucket'> : 2.9999931053042963) (<class '__main__.CoarseGrainedSimpleBucket'> : 1.9999958631830532) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.999998621065296) 
21,21,137.3445210542496,0.08878385629807092,21,19.485576923076923,15.194711538461538,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 15.999955115593862) (<class '__main__.CoarseGrainedSimpleBucket'> : 7.999978281739947) (<class '__main__.CoarseGrainedSimpleBucket'> : 6.999981177508198) (<class '__main__.CoarseGrainedSimpleBucket'> : 9.999972490203435) (<class '__main__.CoarseGrainedSimpleBucket'> : 21.999937740984265) (<class '__main__.CoarseGrainedSimpleBucket'> : 140.9995931445603) (<class '__main__.CoarseGrainedSimpleBucket'> : 262.99923986083144) (<class '__main__.CoarseGrainedSimpleBucket'> : 289.9991616750882) (<class '__main__.CoarseGrainedSimpleBucket'> : 260.999245652368) (<class '__main__.CoarseGrainedSimpleBucket'> : 196.99943097988947) (<class '__main__.CoarseGrainedSimpleBucket'> : 178.99948310386927) (<class '__main__.CoarseGrainedSimpleBucket'> : 186.999459937656) (<class '__main__.CoarseGrainedSimpleBucket'> : 161.9995323320724) (<class '__main__.CoarseGrainedSimpleBucket'> : 116.99966264202183) (<class '__main__.CoarseGrainedSimpleBucket'> : 80.99976688998139) (<class '__main__.CoarseGrainedSimpleBucket'> : 35.99989719993083) (<class '__main__.CoarseGrainedSimpleBucket'> : 16.999952219687234) (<class '__main__.CoarseGrainedSimpleBucket'> : 2.9999927605601107) (<class '__main__.CoarseGrainedSimpleBucket'> : 1.9999956563365904) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999985521169137) 
