max # buckets,actual # buckets,ground truth split strategy,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
13,13,width,4.065681064399859,0.1215456709560694,52,42.375,16.875,1300.0,0.0,(<class '__main__.FineGrainedBucket'> : 9.96013646688641) (<class '__main__.FineGrainedBucket'> : 6.231349270840551) (<class '__main__.FineGrainedBucket'> : 5.934828823779915) (<class '__main__.FineGrainedBucket'> : 0.6665542615578585) (<class '__main__.FineGrainedBucket'> : 0.8468777266907482) (<class '__main__.FineGrainedBucket'> : 4.959391722088655) (<class '__main__.FineGrainedBucket'> : 3.7318380832272786) (<class '__main__.FineGrainedBucket'> : 0.5718791784907519) (<class '__main__.FineGrainedBucket'> : 0.9251235201974961) (<class '__main__.FineGrainedBucket'> : 0.45178790396556984) (<class '__main__.FineGrainedBucket'> : 0.4411305158965207) (<class '__main__.FineGrainedBucket'> : 0.43156135165279735) (<class '__main__.FineGrainedBucket'> : 0.42313223772431263) 
14,14,width,4.0648779927896,0.13089533795269012,56,45.63461538461539,18.173076923076923,1400.0,0.0,(<class '__main__.FineGrainedBucket'> : 10.329687023506088) (<class '__main__.FineGrainedBucket'> : 6.442491343576108) (<class '__main__.FineGrainedBucket'> : 6.1604804353001335) (<class '__main__.FineGrainedBucket'> : 0.8875153040094829) (<class '__main__.FineGrainedBucket'> : 0.5172023897924124) (<class '__main__.FineGrainedBucket'> : 1.6674515221320452) (<class '__main__.FineGrainedBucket'> : 6.134902192498616) (<class '__main__.FineGrainedBucket'> : 1.322770614374572) (<class '__main__.FineGrainedBucket'> : 0.7311458616388858) (<class '__main__.FineGrainedBucket'> : 0.806110510897718) (<class '__main__.FineGrainedBucket'> : 0.4490183867951373) (<class '__main__.FineGrainedBucket'> : 0.4391279383431027) (<class '__main__.FineGrainedBucket'> : 0.43071244277506165) (<class '__main__.FineGrainedBucket'> : 0.42286750022620395) 
15,15,width,4.067303274746034,0.14024500494931083,60,48.89423076923077,19.471153846153847,1500.0,0.0,(<class '__main__.FineGrainedBucket'> : 10.687959120576107) (<class '__main__.FineGrainedBucket'> : 6.661322865165278) (<class '__main__.FineGrainedBucket'> : 6.029219061628213) (<class '__main__.FineGrainedBucket'> : 2.343720358478729) (<class '__main__.FineGrainedBucket'> : 0.5252135099667022) (<class '__main__.FineGrainedBucket'> : 1.2556119480689958) (<class '__main__.FineGrainedBucket'> : 5.299044392838233) (<class '__main__.FineGrainedBucket'> : 3.933182871226997) (<class '__main__.FineGrainedBucket'> : 0.5910030468773148) (<class '__main__.FineGrainedBucket'> : 0.872955205965959) (<class '__main__.FineGrainedBucket'> : 0.6526769929303553) (<class '__main__.FineGrainedBucket'> : 0.44658306375758344) (<class '__main__.FineGrainedBucket'> : 0.43796976257391274) (<class '__main__.FineGrainedBucket'> : 0.429705439553852) (<class '__main__.FineGrainedBucket'> : 0.42253119484073065) 
16,16,width,4.0646723382340575,0.14959467194593157,64,52.15384615384615,20.76923076923077,1600.0,0.0,(<class '__main__.FineGrainedBucket'> : 11.034035388297262) (<class '__main__.FineGrainedBucket'> : 6.848026380465491) (<class '__main__.FineGrainedBucket'> : 4.902269831830042) (<class '__main__.FineGrainedBucket'> : 4.560225490834248) (<class '__main__.FineGrainedBucket'> : 0.5328801546213497) (<class '__main__.FineGrainedBucket'> : 0.5339580623282971) (<class '__main__.FineGrainedBucket'> : 2.1309254088801164) (<class '__main__.FineGrainedBucket'> : 6.445247532157474) (<class '__main__.FineGrainedBucket'> : 1.397351850419098) (<class '__main__.FineGrainedBucket'> : 0.6251411873819281) (<class '__main__.FineGrainedBucket'> : 0.9589181317466541) (<class '__main__.FineGrainedBucket'> : 0.45470463384413407) (<class '__main__.FineGrainedBucket'> : 0.4446051508674379) (<class '__main__.FineGrainedBucket'> : 0.43646647959893226) (<class '__main__.FineGrainedBucket'> : 0.4292881733339071) (<class '__main__.FineGrainedBucket'> : 0.4222660405801374) 
17,17,width,2.330701504556147,0.15894433894255228,68,55.41346153846154,22.067307692307693,1700.0,0.0,(<class '__main__.FineGrainedBucket'> : 6.143096758163561) (<class '__main__.FineGrainedBucket'> : 1.0521038937030636) (<class '__main__.FineGrainedBucket'> : 4.34020545790035) (<class '__main__.FineGrainedBucket'> : 2.816214112435789) (<class '__main__.FineGrainedBucket'> : 0.41981974727100607) (<class '__main__.FineGrainedBucket'> : 0.3637048474619474) (<class '__main__.FineGrainedBucket'> : 1.0511246878646032) (<class '__main__.FineGrainedBucket'> : 3.9456608204479484) (<class '__main__.FineGrainedBucket'> : 2.890372241815772) (<class '__main__.FineGrainedBucket'> : 0.5232199596766918) (<class '__main__.FineGrainedBucket'> : 0.5553415224910365) (<class '__main__.FineGrainedBucket'> : 0.5865638446798168) (<class '__main__.FineGrainedBucket'> : 0.3177855562361436) (<class '__main__.FineGrainedBucket'> : 0.31186245259266804) (<class '__main__.FineGrainedBucket'> : 0.3065659055783377) (<class '__main__.FineGrainedBucket'> : 0.3018030250356004) (<class '__main__.FineGrainedBucket'> : 0.2973066962866484) 
18,18,width,2.330725427166062,0.168294005939173,72,58.67307692307693,23.365384615384617,1800.0,0.0,(<class '__main__.FineGrainedBucket'> : 6.318029743614639) (<class '__main__.FineGrainedBucket'> : 0.7619369845395616) (<class '__main__.FineGrainedBucket'> : 4.419579300300056) (<class '__main__.FineGrainedBucket'> : 3.050705332143049) (<class '__main__.FineGrainedBucket'> : 0.5316568061612418) (<class '__main__.FineGrainedBucket'> : 0.36832091097813285) (<class '__main__.FineGrainedBucket'> : 0.7306416775717705) (<class '__main__.FineGrainedBucket'> : 2.2830498428963297) (<class '__main__.FineGrainedBucket'> : 4.463607100807367) (<class '__main__.FineGrainedBucket'> : 1.033993153177593) (<class '__main__.FineGrainedBucket'> : 0.4017529224164545) (<class '__main__.FineGrainedBucket'> : 0.6496577098497838) (<class '__main__.FineGrainedBucket'> : 0.48301571870296606) (<class '__main__.FineGrainedBucket'> : 0.31629839714298935) (<class '__main__.FineGrainedBucket'> : 0.31076753466109747) (<class '__main__.FineGrainedBucket'> : 0.3060095043768573) (<class '__main__.FineGrainedBucket'> : 0.30128877852172636) (<class '__main__.FineGrainedBucket'> : 0.29705621260075604) 
19,19,width,2.3306880290538423,0.17764367293579372,76,61.93269230769231,24.66346153846154,1900.0,0.0,(<class '__main__.FineGrainedBucket'> : 6.488986314204793) (<class '__main__.FineGrainedBucket'> : 0.761700350997292) (<class '__main__.FineGrainedBucket'> : 4.135536383657704) (<class '__main__.FineGrainedBucket'> : 3.641931056732604) (<class '__main__.FineGrainedBucket'> : 0.6255341546213645) (<class '__main__.FineGrainedBucket'> : 0.3729797266903645) (<class '__main__.FineGrainedBucket'> : 0.3589362334085112) (<class '__main__.FineGrainedBucket'> : 1.2207062049892754) (<class '__main__.FineGrainedBucket'> : 4.452289588882918) (<class '__main__.FineGrainedBucket'> : 2.554596149469649) (<class '__main__.FineGrainedBucket'> : 0.6110735894448379) (<class '__main__.FineGrainedBucket'> : 0.4873761751728945) (<class '__main__.FineGrainedBucket'> : 0.6750112492879183) (<class '__main__.FineGrainedBucket'> : 0.35280350136064803) (<class '__main__.FineGrainedBucket'> : 0.314842305286116) (<class '__main__.FineGrainedBucket'> : 0.3101109532154407) (<class '__main__.FineGrainedBucket'> : 0.30507560684485346) (<class '__main__.FineGrainedBucket'> : 0.30112699326539444) (<class '__main__.FineGrainedBucket'> : 0.29691865133476597) 
20,20,width,2.3305764115515584,0.18699333993241443,80,65.1923076923077,25.961538461538463,2000.0,0.0,(<class '__main__.FineGrainedBucket'> : 6.654656335050678) (<class '__main__.FineGrainedBucket'> : 0.7718848677007729) (<class '__main__.FineGrainedBucket'> : 3.9801083884059385) (<class '__main__.FineGrainedBucket'> : 3.77309596346925) (<class '__main__.FineGrainedBucket'> : 1.5218384582047155) (<class '__main__.FineGrainedBucket'> : 0.37720744982639903) (<class '__main__.FineGrainedBucket'> : 0.36319482200506104) (<class '__main__.FineGrainedBucket'> : 0.9586840691847709) (<class '__main__.FineGrainedBucket'> : 3.562168859535532) (<class '__main__.FineGrainedBucket'> : 3.8546859565886487) (<class '__main__.FineGrainedBucket'> : 1.081460512490896) (<class '__main__.FineGrainedBucket'> : 0.4032254717746523) (<class '__main__.FineGrainedBucket'> : 0.5933035716419449) (<class '__main__.FineGrainedBucket'> : 0.6046857449442676) (<class '__main__.FineGrainedBucket'> : 0.3188652656513744) (<class '__main__.FineGrainedBucket'> : 0.31371060151790975) (<class '__main__.FineGrainedBucket'> : 0.30918969659376433) (<class '__main__.FineGrainedBucket'> : 0.3048448946997397) (<class '__main__.FineGrainedBucket'> : 0.30068382985951) (<class '__main__.FineGrainedBucket'> : 0.2968565684431936) 
21,21,width,2.330593117925305,0.1963430069290352,84,68.45192307692308,27.259615384615383,2100.0,0.0,(<class '__main__.FineGrainedBucket'> : 6.800943018974253) (<class '__main__.FineGrainedBucket'> : 0.9055420600985792) (<class '__main__.FineGrainedBucket'> : 4.071834715784805) (<class '__main__.FineGrainedBucket'> : 3.065517712219363) (<class '__main__.FineGrainedBucket'> : 2.8351753835628046) (<class '__main__.FineGrainedBucket'> : 0.3990038730475945) (<class '__main__.FineGrainedBucket'> : 0.36732360945028025) (<class '__main__.FineGrainedBucket'> : 0.5836905256314948) (<class '__main__.FineGrainedBucket'> : 1.2864948190800407) (<class '__main__.FineGrainedBucket'> : 4.952065570183084) (<class '__main__.FineGrainedBucket'> : 2.0603716095424693) (<class '__main__.FineGrainedBucket'> : 0.6875957429593952) (<class '__main__.FineGrainedBucket'> : 0.40672973777550286) (<class '__main__.FineGrainedBucket'> : 0.6787122478091203) (<class '__main__.FineGrainedBucket'> : 0.5051981539037023) (<class '__main__.FineGrainedBucket'> : 0.31731600010765565) (<class '__main__.FineGrainedBucket'> : 0.3128708871192686) (<class '__main__.FineGrainedBucket'> : 0.30810925819057333) (<class '__main__.FineGrainedBucket'> : 0.3042974505065874) (<class '__main__.FineGrainedBucket'> : 0.3004372842822153) (<class '__main__.FineGrainedBucket'> : 0.296867861426373) 
22,22,width,2.3307165950074493,0.20569267392565593,88,71.71153846153845,28.557692307692307,2200.0,0.0,(<class '__main__.FineGrainedBucket'> : 6.924767058968045) (<class '__main__.FineGrainedBucket'> : 1.1437664616780734) (<class '__main__.FineGrainedBucket'> : 4.161460814963512) (<class '__main__.FineGrainedBucket'> : 2.9587793820847614) (<class '__main__.FineGrainedBucket'> : 3.0785354912058884) (<class '__main__.FineGrainedBucket'> : 0.514240720445246) (<class '__main__.FineGrainedBucket'> : 0.37116703109685595) (<class '__main__.FineGrainedBucket'> : 0.35933839972008763) (<class '__main__.FineGrainedBucket'> : 1.141695456217176) (<class '__main__.FineGrainedBucket'> : 4.357700698648967) (<class '__main__.FineGrainedBucket'> : 3.316035243598642) (<class '__main__.FineGrainedBucket'> : 1.1268909484402396) (<class '__main__.FineGrainedBucket'> : 0.40418007426124264) (<class '__main__.FineGrainedBucket'> : 0.5301633103466709) (<class '__main__.FineGrainedBucket'> : 0.6749230174249705) (<class '__main__.FineGrainedBucket'> : 0.3826301666532781) (<class '__main__.FineGrainedBucket'> : 0.3163349525811747) (<class '__main__.FineGrainedBucket'> : 0.31172004510339324) (<class '__main__.FineGrainedBucket'> : 0.3077723968583567) (<class '__main__.FineGrainedBucket'> : 0.30377345179691745) (<class '__main__.FineGrainedBucket'> : 0.299993012666482) (<class '__main__.FineGrainedBucket'> : 0.29693188181314495) 
23,23,width,2.3309609306399195,0.21504234092227661,92,74.97115384615385,29.85576923076923,2300.0,0.0,(<class '__main__.FineGrainedBucket'> : 7.059223038294496) (<class '__main__.FineGrainedBucket'> : 1.2815915212840774) (<class '__main__.FineGrainedBucket'> : 4.249040833238996) (<class '__main__.FineGrainedBucket'> : 2.8624030067701667) (<class '__main__.FineGrainedBucket'> : 3.291574323198881) (<class '__main__.FineGrainedBucket'> : 0.6094279012055915) (<class '__main__.FineGrainedBucket'> : 0.3747635327361635) (<class '__main__.FineGrainedBucket'> : 0.3629806427336511) (<class '__main__.FineGrainedBucket'> : 0.8550110775101863) (<class '__main__.FineGrainedBucket'> : 1.2816358524389457) (<class '__main__.FineGrainedBucket'> : 5.406619177631724) (<class '__main__.FineGrainedBucket'> : 1.4078170801132341) (<class '__main__.FineGrainedBucket'> : 0.7568816471339018) (<class '__main__.FineGrainedBucket'> : 0.40133739055004597) (<class '__main__.FineGrainedBucket'> : 0.6291074468892469) (<class '__main__.FineGrainedBucket'> : 0.6224341842724849) (<class '__main__.FineGrainedBucket'> : 0.31979328745401725) (<class '__main__.FineGrainedBucket'> : 0.3152303293532038) (<class '__main__.FineGrainedBucket'> : 0.31087460596213395) (<class '__main__.FineGrainedBucket'> : 0.307012659688647) (<class '__main__.FineGrainedBucket'> : 0.30338255063629305) (<class '__main__.FineGrainedBucket'> : 0.2999931008873467) (<class '__main__.FineGrainedBucket'> : 0.2966416282210116) 
