max # buckets,actual # buckets,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),maxres,(bucket type : per bucket err)
12,12,255.142109,0.05,12,11.13,8.68,0.00,0.00,11.13,(<class '__main__.CoarseGrainedSimpleBucket'> : 47.99965252505886) (<class '__main__.CoarseGrainedSimpleBucket'> : 241.99823336419269) (<class '__main__.CoarseGrainedSimpleBucket'> : 525.9961558714508) (<class '__main__.CoarseGrainedSimpleBucket'> : 618.9954755457981) (<class '__main__.CoarseGrainedSimpleBucket'> : 195.99856990357665) (<class '__main__.CoarseGrainedSimpleBucket'> : 57.99957937243691) (<class '__main__.CoarseGrainedSimpleBucket'> : 75.99944769771739) (<class '__main__.CoarseGrainedSimpleBucket'> : 60.99955742665033) (<class '__main__.CoarseGrainedSimpleBucket'> : 72.99946963962425) (<class '__main__.CoarseGrainedSimpleBucket'> : 50.99963057656985) (<class '__main__.CoarseGrainedSimpleBucket'> : 27.999798828831093) (<class '__main__.CoarseGrainedSimpleBucket'> : 21.99984272187583) 
13,13,235.872267,0.05,13,12.06,9.41,0.00,0.00,12.06,(<class '__main__.CoarseGrainedSimpleBucket'> : 40.99967904396271) (<class '__main__.CoarseGrainedSimpleBucket'> : 201.99840314459246) (<class '__main__.CoarseGrainedSimpleBucket'> : 406.9967785911693) (<class '__main__.CoarseGrainedSimpleBucket'> : 617.995106410505) (<class '__main__.CoarseGrainedSimpleBucket'> : 332.9973650171614) (<class '__main__.CoarseGrainedSimpleBucket'> : 61.99951261844335) (<class '__main__.CoarseGrainedSimpleBucket'> : 57.99954431805779) (<class '__main__.CoarseGrainedSimpleBucket'> : 66.9994729939253) (<class '__main__.CoarseGrainedSimpleBucket'> : 59.99952846825057) (<class '__main__.CoarseGrainedSimpleBucket'> : 63.99949676863612) (<class '__main__.CoarseGrainedSimpleBucket'> : 43.99965526670834) (<class '__main__.CoarseGrainedSimpleBucket'> : 25.999797914973257) (<class '__main__.CoarseGrainedSimpleBucket'> : 17.999861315301093) 
14,14,218.957294,0.06,14,12.99,10.13,0.00,0.00,12.99,(<class '__main__.CoarseGrainedSimpleBucket'> : 33.999714094315614) (<class '__main__.CoarseGrainedSimpleBucket'> : 158.9986472819937) (<class '__main__.CoarseGrainedSimpleBucket'> : 353.9969830788801) (<class '__main__.CoarseGrainedSimpleBucket'> : 559.9952249937851) (<class '__main__.CoarseGrainedSimpleBucket'> : 417.9964369081149) (<class '__main__.CoarseGrainedSimpleBucket'> : 109.99906547242394) (<class '__main__.CoarseGrainedSimpleBucket'> : 53.99954340434417) (<class '__main__.CoarseGrainedSimpleBucket'> : 61.99947512835558) (<class '__main__.CoarseGrainedSimpleBucket'> : 58.9995007318513) (<class '__main__.CoarseGrainedSimpleBucket'> : 61.99947512835558) (<class '__main__.CoarseGrainedSimpleBucket'> : 52.99955193884274) (<class '__main__.CoarseGrainedSimpleBucket'> : 37.99967995632133) (<class '__main__.CoarseGrainedSimpleBucket'> : 19.9998335772955) (<class '__main__.CoarseGrainedSimpleBucket'> : 16.999859181992964) 
15,15,206.852364,0.06,15,13.92,10.85,0.00,0.00,13.92,(<class '__main__.CoarseGrainedSimpleBucket'> : 28.999739394043058) (<class '__main__.CoarseGrainedSimpleBucket'> : 131.99879755489664) (<class '__main__.CoarseGrainedSimpleBucket'> : 284.99739854436535) (<class '__main__.CoarseGrainedSimpleBucket'> : 518.995258835282) (<class '__main__.CoarseGrainedSimpleBucket'> : 469.9957069178111) (<class '__main__.CoarseGrainedSimpleBucket'> : 182.99833125732582) (<class '__main__.CoarseGrainedSimpleBucket'> : 48.999556512655495) (<class '__main__.CoarseGrainedSimpleBucket'> : 51.99952908044735) (<class '__main__.CoarseGrainedSimpleBucket'> : 60.999446778764224) (<class '__main__.CoarseGrainedSimpleBucket'> : 45.99958394105917) (<class '__main__.CoarseGrainedSimpleBucket'> : 61.999437634611226) (<class '__main__.CoarseGrainedSimpleBucket'> : 44.99959308521216) (<class '__main__.CoarseGrainedSimpleBucket'> : 35.99967538258911) (<class '__main__.CoarseGrainedSimpleBucket'> : 14.999867409801706) (<class '__main__.CoarseGrainedSimpleBucket'> : 15.999858266944777) 
16,16,193.168771,0.07,16,14.85,11.58,0.00,0.00,14.85,(<class '__main__.CoarseGrainedSimpleBucket'> : 25.999751281411854) (<class '__main__.CoarseGrainedSimpleBucket'> : 114.9988832046898) (<class '__main__.CoarseGrainedSimpleBucket'> : 239.9976639958101) (<class '__main__.CoarseGrainedSimpleBucket'> : 434.9957620972247) (<class '__main__.CoarseGrainedSimpleBucket'> : 488.99523539156036) (<class '__main__.CoarseGrainedSimpleBucket'> : 277.99729339139594) (<class '__main__.CoarseGrainedSimpleBucket'> : 60.99940990292578) (<class '__main__.CoarseGrainedSimpleBucket'> : 44.99956596166232) (<class '__main__.CoarseGrainedSimpleBucket'> : 55.99945866600096) (<class '__main__.CoarseGrainedSimpleBucket'> : 49.99951718859797) (<class '__main__.CoarseGrainedSimpleBucket'> : 47.999536696130306) (<class '__main__.CoarseGrainedSimpleBucket'> : 55.99945866600096) (<class '__main__.CoarseGrainedSimpleBucket'> : 39.999614726259644) (<class '__main__.CoarseGrainedSimpleBucket'> : 32.999683002622795) (<class '__main__.CoarseGrainedSimpleBucket'> : 12.999878077945704) (<class '__main__.CoarseGrainedSimpleBucket'> : 14.999858571792938) 
17,17,182.492589,0.07,17,15.77,12.30,0.00,0.00,15.77,(<class '__main__.CoarseGrainedSimpleBucket'> : 18.999808279254488) (<class '__main__.CoarseGrainedSimpleBucket'> : 100.9989584898888) (<class '__main__.CoarseGrainedSimpleBucket'> : 203.9978910715386) (<class '__main__.CoarseGrainedSimpleBucket'> : 357.99629518355135) (<class '__main__.CoarseGrainedSimpleBucket'> : 489.994927214341) (<class '__main__.CoarseGrainedSimpleBucket'> : 342.9964506655714) (<class '__main__.CoarseGrainedSimpleBucket'> : 109.99886522032423) (<class '__main__.CoarseGrainedSimpleBucket'> : 43.99954919713103) (<class '__main__.CoarseGrainedSimpleBucket'> : 45.99952847056114) (<class '__main__.CoarseGrainedSimpleBucket'> : 55.99942483771164) (<class '__main__.CoarseGrainedSimpleBucket'> : 40.99958028263622) (<class '__main__.CoarseGrainedSimpleBucket'> : 47.9995077388898) (<class '__main__.CoarseGrainedSimpleBucket'> : 46.999518102282146) (<class '__main__.CoarseGrainedSimpleBucket'> : 37.999611372813256) (<class '__main__.CoarseGrainedSimpleBucket'> : 27.999715006736658) (<class '__main__.CoarseGrainedSimpleBucket'> : 11.99988082101367) (<class '__main__.CoarseGrainedSimpleBucket'> : 14.999849732394116) 
18,18,172.356421,0.08,18,16.70,13.02,0.00,0.00,16.70,(<class '__main__.CoarseGrainedSimpleBucket'> : 18.99979700113208) (<class '__main__.CoarseGrainedSimpleBucket'> : 83.99908376176406) (<class '__main__.CoarseGrainedSimpleBucket'> : 186.9979535516877) (<class '__main__.CoarseGrainedSimpleBucket'> : 307.9966259004238) (<class '__main__.CoarseGrainedSimpleBucket'> : 441.9951555084314) (<class '__main__.CoarseGrainedSimpleBucket'> : 394.9956712412674) (<class '__main__.CoarseGrainedSimpleBucket'> : 173.99809626262447) (<class '__main__.CoarseGrainedSimpleBucket'> : 39.99956656995186) (<class '__main__.CoarseGrainedSimpleBucket'> : 39.99956656995186) (<class '__main__.CoarseGrainedSimpleBucket'> : 50.99944586790494) (<class '__main__.CoarseGrainedSimpleBucket'> : 43.99952267829844) (<class '__main__.CoarseGrainedSimpleBucket'> : 41.99954462412515) (<class '__main__.CoarseGrainedSimpleBucket'> : 51.99943489499158) (<class '__main__.CoarseGrainedSimpleBucket'> : 42.99953365121179) (<class '__main__.CoarseGrainedSimpleBucket'> : 28.999687268567143) (<class '__main__.CoarseGrainedSimpleBucket'> : 23.999742133735882) (<class '__main__.CoarseGrainedSimpleBucket'> : 10.999884783174151) (<class '__main__.CoarseGrainedSimpleBucket'> : 14.999840892785324) 
19,19,162.417876,0.08,19,17.63,13.75,0.00,0.00,17.63,(<class '__main__.CoarseGrainedSimpleBucket'> : 17.999797307112374) (<class '__main__.CoarseGrainedSimpleBucket'> : 76.99911394241059) (<class '__main__.CoarseGrainedSimpleBucket'> : 162.99811785148842) (<class '__main__.CoarseGrainedSimpleBucket'> : 258.9970059807605) (<class '__main__.CoarseGrainedSimpleBucket'> : 417.9951643814981) (<class '__main__.CoarseGrainedSimpleBucket'> : 389.9954886715958) (<class '__main__.CoarseGrainedSimpleBucket'> : 234.99728393273097) (<class '__main__.CoarseGrainedSimpleBucket'> : 71.99917184508143) (<class '__main__.CoarseGrainedSimpleBucket'> : 38.999554070443644) (<class '__main__.CoarseGrainedSimpleBucket'> : 43.99949615750999) (<class '__main__.CoarseGrainedSimpleBucket'> : 44.99948457492326) (<class '__main__.CoarseGrainedSimpleBucket'> : 35.999588818203826) (<class '__main__.CoarseGrainedSimpleBucket'> : 46.9994614097498) (<class '__main__.CoarseGrainedSimpleBucket'> : 48.99943824457633) (<class '__main__.CoarseGrainedSimpleBucket'> : 33.99961198337728) (<class '__main__.CoarseGrainedSimpleBucket'> : 28.999669896310884) (<class '__main__.CoarseGrainedSimpleBucket'> : 18.999785722177975) (<class '__main__.CoarseGrainedSimpleBucket'> : 11.999866800284638) (<class '__main__.CoarseGrainedSimpleBucket'> : 13.999843636922447) 
20,20,154.488740,0.08,20,18.56,14.47,0.00,0.00,18.56,(<class '__main__.CoarseGrainedSimpleBucket'> : 15.999811022890036) (<class '__main__.CoarseGrainedSimpleBucket'> : 62.999237995416046) (<class '__main__.CoarseGrainedSimpleBucket'> : 156.9980919404665) (<class '__main__.CoarseGrainedSimpleBucket'> : 209.9974458186059) (<class '__main__.CoarseGrainedSimpleBucket'> : 369.9954950946223) (<class '__main__.CoarseGrainedSimpleBucket'> : 396.9951658734333) (<class '__main__.CoarseGrainedSimpleBucket'> : 285.996519248189) (<class '__main__.CoarseGrainedSimpleBucket'> : 118.99855534173095) (<class '__main__.CoarseGrainedSimpleBucket'> : 32.99960375280269) (<class '__main__.CoarseGrainedSimpleBucket'> : 37.99954279168986) (<class '__main__.CoarseGrainedSimpleBucket'> : 44.99945744613186) (<class '__main__.CoarseGrainedSimpleBucket'> : 45.99944525390929) (<class '__main__.CoarseGrainedSimpleBucket'> : 33.99959156058013) (<class '__main__.CoarseGrainedSimpleBucket'> : 36.99955498391243) (<class '__main__.CoarseGrainedSimpleBucket'> : 47.999420869464146) (<class '__main__.CoarseGrainedSimpleBucket'> : 33.99959156058013) (<class '__main__.CoarseGrainedSimpleBucket'> : 25.999689098360616) (<class '__main__.CoarseGrainedSimpleBucket'> : 15.999811020585986) (<class '__main__.CoarseGrainedSimpleBucket'> : 11.999859789475925) (<class '__main__.CoarseGrainedSimpleBucket'> : 12.999847599111568) 
21,21,148.664175,0.09,21,19.49,15.19,0.00,0.00,19.49,(<class '__main__.CoarseGrainedSimpleBucket'> : 14.999814375091606) (<class '__main__.CoarseGrainedSimpleBucket'> : 49.99936631487325) (<class '__main__.CoarseGrainedSimpleBucket'> : 127.99836778067046) (<class '__main__.CoarseGrainedSimpleBucket'> : 199.9974460567908) (<class '__main__.CoarseGrainedSimpleBucket'> : 318.99592273230724) (<class '__main__.CoarseGrainedSimpleBucket'> : 394.9949497861025) (<class '__main__.CoarseGrainedSimpleBucket'> : 327.99580751461997) (<class '__main__.CoarseGrainedSimpleBucket'> : 158.99797100784787) (<class '__main__.CoarseGrainedSimpleBucket'> : 40.999481530358125) (<class '__main__.CoarseGrainedSimpleBucket'> : 37.99951993551974) (<class '__main__.CoarseGrainedSimpleBucket'> : 39.99949433207866) (<class '__main__.CoarseGrainedSimpleBucket'> : 37.99951993551974) (<class '__main__.CoarseGrainedSimpleBucket'> : 39.99949433207866) (<class '__main__.CoarseGrainedSimpleBucket'> : 34.99955834068135) (<class '__main__.CoarseGrainedSimpleBucket'> : 45.9994175142986) (<class '__main__.CoarseGrainedSimpleBucket'> : 33.9995711369117) (<class '__main__.CoarseGrainedSimpleBucket'> : 31.999596740680538) (<class '__main__.CoarseGrainedSimpleBucket'> : 24.999686353871425) (<class '__main__.CoarseGrainedSimpleBucket'> : 12.999839976483923) (<class '__main__.CoarseGrainedSimpleBucket'> : 11.99985277836823) (<class '__main__.CoarseGrainedSimpleBucket'> : 11.999852780252919) 
