max # buckets,actual # buckets,ground truth split strategy,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
13,13,depth-count,0.17676327819528553,0.1215456709560694,52,42.375,16.875,1300.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.14823125226983577) (<class '__main__.FineGrainedBucket'> : 0.18658315995686636) (<class '__main__.FineGrainedBucket'> : 0.15042682622076523) (<class '__main__.FineGrainedBucket'> : 0.17691090769484544) (<class '__main__.FineGrainedBucket'> : 0.1826307616482217) (<class '__main__.FineGrainedBucket'> : 0.12975217284389423) (<class '__main__.FineGrainedBucket'> : 0.11975288482812234) (<class '__main__.FineGrainedBucket'> : 0.11974884221128215) (<class '__main__.FineGrainedBucket'> : 0.17109375812737707) (<class '__main__.FineGrainedBucket'> : 0.13840061983300794) (<class '__main__.FineGrainedBucket'> : 0.14869659230146112) (<class '__main__.FineGrainedBucket'> : 0.18429565061084233) (<class '__main__.FineGrainedBucket'> : 0.20476703131573235) 
14,14,depth-count,0.14614198072856657,0.13089533795269012,56,45.63461538461539,18.173076923076923,1400.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.14568580959493205) (<class '__main__.FineGrainedBucket'> : 0.12451649177614792) (<class '__main__.FineGrainedBucket'> : 0.1407818948376872) (<class '__main__.FineGrainedBucket'> : 0.16757605114240093) (<class '__main__.FineGrainedBucket'> : 0.1166350223100815) (<class '__main__.FineGrainedBucket'> : 0.12643800205102187) (<class '__main__.FineGrainedBucket'> : 0.1292081518927735) (<class '__main__.FineGrainedBucket'> : 0.1167550961317599) (<class '__main__.FineGrainedBucket'> : 0.1173999063034718) (<class '__main__.FineGrainedBucket'> : 0.16933674679867278) (<class '__main__.FineGrainedBucket'> : 0.12708363239844653) (<class '__main__.FineGrainedBucket'> : 0.13775251469850772) (<class '__main__.FineGrainedBucket'> : 0.17808750911474486) (<class '__main__.FineGrainedBucket'> : 0.13848153600391203) 
15,15,depth-count,0.15314071342980115,0.14024500494931083,60,48.89423076923077,19.471153846153847,1500.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.1422045435011471) (<class '__main__.FineGrainedBucket'> : 0.12383143447129011) (<class '__main__.FineGrainedBucket'> : 0.1383849606406058) (<class '__main__.FineGrainedBucket'> : 0.16682754892371537) (<class '__main__.FineGrainedBucket'> : 0.11221297103099243) (<class '__main__.FineGrainedBucket'> : 0.1271009047711671) (<class '__main__.FineGrainedBucket'> : 0.12770688402356692) (<class '__main__.FineGrainedBucket'> : 0.11724307858817785) (<class '__main__.FineGrainedBucket'> : 0.11572881385543624) (<class '__main__.FineGrainedBucket'> : 0.11856065575417916) (<class '__main__.FineGrainedBucket'> : 0.15674092543420112) (<class '__main__.FineGrainedBucket'> : 0.17311981478715238) (<class '__main__.FineGrainedBucket'> : 0.1777820635668062) (<class '__main__.FineGrainedBucket'> : 0.1822518118499427) (<class '__main__.FineGrainedBucket'> : 0.1353886364369605) 
16,16,depth-count,0.13003771471880632,0.14959467194593157,64,52.15384615384615,20.76923076923077,1600.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.13998352676688533) (<class '__main__.FineGrainedBucket'> : 0.12159663678927371) (<class '__main__.FineGrainedBucket'> : 0.13628721424362678) (<class '__main__.FineGrainedBucket'> : 0.15667716239799614) (<class '__main__.FineGrainedBucket'> : 0.11255928649762997) (<class '__main__.FineGrainedBucket'> : 0.11920758450792844) (<class '__main__.FineGrainedBucket'> : 0.1279400719174639) (<class '__main__.FineGrainedBucket'> : 0.1272968629761922) (<class '__main__.FineGrainedBucket'> : 0.1158599996500101) (<class '__main__.FineGrainedBucket'> : 0.12045248329974874) (<class '__main__.FineGrainedBucket'> : 0.10998761648735608) (<class '__main__.FineGrainedBucket'> : 0.14455017842610038) (<class '__main__.FineGrainedBucket'> : 0.13942252727524918) (<class '__main__.FineGrainedBucket'> : 0.12275164215338846) (<class '__main__.FineGrainedBucket'> : 0.12465099084662261) (<class '__main__.FineGrainedBucket'> : 0.13150946412467276) 
17,17,depth-count,0.12892189465307047,0.15894433894255228,68,55.41346153846154,22.067307692307693,1700.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.13749488862859519) (<class '__main__.FineGrainedBucket'> : 0.12367324101001062) (<class '__main__.FineGrainedBucket'> : 0.1273802539412763) (<class '__main__.FineGrainedBucket'> : 0.14646739687457405) (<class '__main__.FineGrainedBucket'> : 0.11336778067633699) (<class '__main__.FineGrainedBucket'> : 0.11730476132931386) (<class '__main__.FineGrainedBucket'> : 0.12896075672920232) (<class '__main__.FineGrainedBucket'> : 0.12852845554006115) (<class '__main__.FineGrainedBucket'> : 0.11762754598917695) (<class '__main__.FineGrainedBucket'> : 0.12152265206396035) (<class '__main__.FineGrainedBucket'> : 0.11616435579592431) (<class '__main__.FineGrainedBucket'> : 0.11028576181099446) (<class '__main__.FineGrainedBucket'> : 0.13387711494622562) (<class '__main__.FineGrainedBucket'> : 0.11835989476556812) (<class '__main__.FineGrainedBucket'> : 0.1254803573996591) (<class '__main__.FineGrainedBucket'> : 0.1284363367158761) (<class '__main__.FineGrainedBucket'> : 0.13285690880112183) 
18,18,depth-count,0.12894553486499616,0.206338963210651,69,85.21153846153847,25.329326923076923,1700.0,33.33333333333333,(<class '__main__.FineGrainedBucket'> : 0.13459654184958875) (<class '__main__.FineGrainedBucket'> : 0.12086255885601113) (<class '__main__.FineGrainedBucket'> : 0.12816289987515878) (<class '__main__.CoarseGrainedBloomBucket'> : 0.13731959893520376) (<class '__main__.FineGrainedBucket'> : 0.10817962685878156) (<class '__main__.FineGrainedBucket'> : 0.11413850765925859) (<class '__main__.FineGrainedBucket'> : 0.12907464905180693) (<class '__main__.FineGrainedBucket'> : 0.12594300547760684) (<class '__main__.FineGrainedBucket'> : 0.12687154952391544) (<class '__main__.FineGrainedBucket'> : 0.11845805921142966) (<class '__main__.FineGrainedBucket'> : 0.11814520860331106) (<class '__main__.FineGrainedBucket'> : 0.11246022256240452) (<class '__main__.FineGrainedBucket'> : 0.10641169767240534) (<class '__main__.FineGrainedBucket'> : 0.12437264346733898) (<class '__main__.FineGrainedBucket'> : 0.15045428886081458) (<class '__main__.FineGrainedBucket'> : 0.1269889222080097) (<class '__main__.FineGrainedBucket'> : 0.1237142800089927) (<class '__main__.FineGrainedBucket'> : 0.12821488435002018) 
19,19,depth-count,0.12746198658042962,0.25373358747874974,70,115.00961538461539,28.591346153846153,1700.0,66.66666666666666,(<class '__main__.FineGrainedBucket'> : 0.13227049949296973) (<class '__main__.FineGrainedBucket'> : 0.11792733526889451) (<class '__main__.FineGrainedBucket'> : 0.12663005639822195) (<class '__main__.CoarseGrainedBloomBucket'> : 0.13195999018480753) (<class '__main__.FineGrainedBucket'> : 0.1051903366076434) (<class '__main__.FineGrainedBucket'> : 0.1136424707488498) (<class '__main__.FineGrainedBucket'> : 0.11821278523203045) (<class '__main__.FineGrainedBucket'> : 0.13341688847472288) (<class '__main__.FineGrainedBucket'> : 0.12774138555335773) (<class '__main__.FineGrainedBucket'> : 0.11767243239944242) (<class '__main__.FineGrainedBucket'> : 0.11961023944163446) (<class '__main__.FineGrainedBucket'> : 0.11838931892391238) (<class '__main__.FineGrainedBucket'> : 0.10900854856282993) (<class '__main__.CoarseGrainedBloomBucket'> : 0.14162289983607995) (<class '__main__.FineGrainedBucket'> : 0.12282787802612025) (<class '__main__.FineGrainedBucket'> : 0.13037156085326834) (<class '__main__.FineGrainedBucket'> : 0.12966190047669868) (<class '__main__.FineGrainedBucket'> : 0.1271486466527191) (<class '__main__.FineGrainedBucket'> : 0.1280865206928508) 
20,20,depth-count,0.12371717320450766,0.4152630835612825,62,224.42307692307693,37.74519230769231,1400.0,200.0,(<class '__main__.CoarseGrainedBloomBucket'> : 0.1270947846155679) (<class '__main__.FineGrainedBucket'> : 0.110740114870955) (<class '__main__.CoarseGrainedBloomBucket'> : 0.12919249942564978) (<class '__main__.CoarseGrainedBloomBucket'> : 0.13373955571929813) (<class '__main__.FineGrainedBucket'> : 0.10858479983641811) (<class '__main__.FineGrainedBucket'> : 0.11471283210645236) (<class '__main__.FineGrainedBucket'> : 0.11322770341445958) (<class '__main__.CoarseGrainedBloomBucket'> : 0.11823987211773547) (<class '__main__.FineGrainedBucket'> : 0.12487565767452104) (<class '__main__.CoarseGrainedBloomBucket'> : 0.12329387289799061) (<class '__main__.FineGrainedBucket'> : 0.11628706298852672) (<class '__main__.FineGrainedBucket'> : 0.11461521416512013) (<class '__main__.FineGrainedBucket'> : 0.11998266182289498) (<class '__main__.FineGrainedBucket'> : 0.11035826248686476) (<class '__main__.CoarseGrainedBloomBucket'> : 0.1351016204571544) (<class '__main__.FineGrainedBucket'> : 0.11598743663253656) (<class '__main__.FineGrainedBucket'> : 0.12221309033117352) (<class '__main__.FineGrainedBucket'> : 0.1219240972285691) (<class '__main__.FineGrainedBucket'> : 0.1270735793787828) (<class '__main__.FineGrainedBucket'> : 0.12639783966819335) 
21,21,depth-count,0.12020330954574183,1.3514483599060716,45,705.6682692307693,129.0216346153846,800.0,426.6666666666667,(<class '__main__.CoarseGrainedBloomBucket'> : 0.12029675717571138) (<class '__main__.FineGrainedBucket'> : 0.10544460384944294) (<class '__main__.CoarseGrainedBloomBucket'> : 0.12408830038037336) (<class '__main__.CoarseGrainedBloomBucket'> : 0.12030819313590514) (<class '__main__.FineGrainedBucket'> : 0.09802761500121922) (<class '__main__.CoarseGrainedBloomBucket'> : 0.10590829054033908) (<class '__main__.FineGrainedBucket'> : 0.1132001824007719) (<class '__main__.CoarseGrainedBloomBucket'> : 0.11470786693528089) (<class '__main__.CoarseGrainedCountingBloomBucket'> : 0.11351138561230761) (<class '__main__.CoarseGrainedBloomBucket'> : 0.11501438423241667) (<class '__main__.CoarseGrainedBloomBucket'> : 0.10885865142426121) (<class '__main__.FineGrainedBucket'> : 0.12078933984568097) (<class '__main__.CoarseGrainedBloomBucket'> : 0.10690708534559086) (<class '__main__.FineGrainedBucket'> : 0.1126243741870487) (<class '__main__.FineGrainedBucket'> : 0.10967420314970466) (<class '__main__.CoarseGrainedBloomBucket'> : 0.12097882302444016) (<class '__main__.CoarseGrainedBloomBucket'> : 0.12431118540455849) (<class '__main__.FineGrainedBucket'> : 0.11897884759910066) (<class '__main__.CoarseGrainedBloomBucket'> : 0.11946786939444382) (<class '__main__.CoarseGrainedBloomBucket'> : 0.1225036530232217) (<class '__main__.FineGrainedBucket'> : 0.12639783966819335) 
22,22,depth-count,0.11565963718497223,0.814411990269304,40,496.3269230769231,59.980769230769226,600.0,533.3333333333333,(<class '__main__.CoarseGrainedBloomBucket'> : 0.11281653833246845) (<class '__main__.FineGrainedBucket'> : 0.10559127318313957) (<class '__main__.CoarseGrainedBloomBucket'> : 0.10973479024824723) (<class '__main__.CoarseGrainedBloomBucket'> : 0.11325688470670903) (<class '__main__.FineGrainedBucket'> : 0.09428627674869754) (<class '__main__.CoarseGrainedBloomBucket'> : 0.10221285135471907) (<class '__main__.CoarseGrainedBloomBucket'> : 0.10842117363961463) (<class '__main__.CoarseGrainedBloomBucket'> : 0.10640087713730498) (<class '__main__.FineGrainedBucket'> : 0.076462191314134) (<class '__main__.CoarseGrainedBloomBucket'> : 0.1124386056815974) (<class '__main__.FineGrainedBucket'> : 0.07527562886198057) (<class '__main__.CoarseGrainedBloomBucket'> : 0.10767967281422103) (<class '__main__.CoarseGrainedBloomBucket'> : 0.11740724489094446) (<class '__main__.CoarseGrainedBloomBucket'> : 0.10516478660631551) (<class '__main__.CoarseGrainedBloomBucket'> : 0.10671525652560501) (<class '__main__.FineGrainedBucket'> : 0.10859119128130953) (<class '__main__.CoarseGrainedBloomBucket'> : 0.11152909579743636) (<class '__main__.CoarseGrainedBloomBucket'> : 0.11625241385272654) (<class '__main__.CoarseGrainedBloomBucket'> : 0.11532177676905225) (<class '__main__.CoarseGrainedBloomBucket'> : 0.11154022378148845) (<class '__main__.CoarseGrainedBloomBucket'> : 0.11277699364713403) (<class '__main__.FineGrainedBucket'> : 0.1280865206928508) 
