max # buckets,actual # buckets,ground truth split strategy,algorithm_[first solution construction],overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
26,26,depth-count,greedy_avg_res_histogram,1.116870031,0.248787952,98,92.54807692,33.09134615,51,66.66666667,(<class '__main__.FineGrainedBucket'> : 0.256210638268947) (<class '__main__.FineGrainedBucket'> : 0.21216480023169082) (<class '__main__.FineGrainedBucket'> : 1.0100885932555184) (<class '__main__.FineGrainedBucket'> : 1.4150542666121408) (<class '__main__.FineGrainedBucket'> : 0.23142034223897326) (<class '__main__.FineGrainedBucket'> : 1.1255872398192688) (<class '__main__.FineGrainedBucket'> : 0.25383275807947503) (<class '__main__.FineGrainedBucket'> : 1.564595475948171) (<class '__main__.FineGrainedBucket'> : 1.3874808842813358) (<class '__main__.FineGrainedBucket'> : 0.19710027581296025) (<class '__main__.FineGrainedBucket'> : 1.0775168131753232) (<class '__main__.FineGrainedBucket'> : 1.007881759093663) (<class '__main__.FineGrainedBucket'> : 1.1112967877002864) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.9978959002157788) (<class '__main__.FineGrainedBucket'> : 0.18372752580789445) (<class '__main__.FineGrainedBucket'> : 1.5733515681918726) (<class '__main__.FineGrainedBucket'> : 0.9906557950766863) (<class '__main__.FineGrainedBucket'> : 1.1723605348800736) (<class '__main__.FineGrainedBucket'> : 0.24920401229445516) (<class '__main__.FineGrainedBucket'> : 0.2786947831256545) (<class '__main__.FineGrainedBucket'> : 1.3200713075854673) (<class '__main__.FineGrainedBucket'> : 0.2715851953845239) (<class '__main__.FineGrainedBucket'> : 1.4553722647196667) (<class '__main__.FineGrainedBucket'> : 1.3046884292948313) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.9997446957134458) (<class '__main__.FineGrainedBucket'> : 1.431705929360043) 
26,26,depth-count,simulated_annealing_histogram_last,0.720605952,0.259196257,95,99.58173077,33.68509615,99,100,(<class '__main__.FineGrainedBucket'> : 0.256210638268947) (<class '__main__.FineGrainedBucket'> : 0.21216480023169082) (<class '__main__.FineGrainedBucket'> : 1.0100885932555184) (<class '__main__.FineGrainedBucket'> : 0.25742509489226884) (<class '__main__.FineGrainedBucket'> : 0.23142034223897326) (<class '__main__.FineGrainedBucket'> : 0.2146528103900795) (<class '__main__.FineGrainedBucket'> : 1.5383694881737224) (<class '__main__.FineGrainedBucket'> : 0.26083178758964853) (<class '__main__.FineGrainedBucket'> : 0.24203449318534767) (<class '__main__.FineGrainedBucket'> : 0.07287131931227749) (<class '__main__.FineGrainedBucket'> : 1.0775168131753232) (<class '__main__.FineGrainedBucket'> : 0.19198198707757574) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.9973311165308021) (<class '__main__.FineGrainedBucket'> : 0.2540669801883681) (<class '__main__.FineGrainedBucket'> : 0.18372752580789445) (<class '__main__.FineGrainedBucket'> : 1.5733515681918726) (<class '__main__.FineGrainedBucket'> : 0.19188532269859077) (<class '__main__.FineGrainedBucket'> : 0.2350754354425893) (<class '__main__.FineGrainedBucket'> : 0.24920401229445516) (<class '__main__.FineGrainedBucket'> : 0.2786947831256545) (<class '__main__.FineGrainedBucket'> : 0.2382589857479773) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.9997487968652523) (<class '__main__.FineGrainedBucket'> : 0.12363878443794761) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.9997626705771779) (<class '__main__.FineGrainedBucket'> : 1.509223561546778) (<class '__main__.FineGrainedBucket'> : 0.25906155773297157) 
26,26,depth-distinct,greedy_avg_res_histogram,1.128223401,0.248787952,98,92.54807692,33.09134615,51,66.66666667,(<class '__main__.FineGrainedBucket'> : 1.5576909062184392) (<class '__main__.FineGrainedBucket'> : 0.21216480023169082) (<class '__main__.FineGrainedBucket'> : 1.0100885932555184) (<class '__main__.FineGrainedBucket'> : 1.4150542666121408) (<class '__main__.FineGrainedBucket'> : 0.23142034223897326) (<class '__main__.FineGrainedBucket'> : 1.124776157338129) (<class '__main__.FineGrainedBucket'> : 1.6032999003837587) (<class '__main__.FineGrainedBucket'> : 1.5773819535150109) (<class '__main__.FineGrainedBucket'> : 1.4211728521390057) (<class '__main__.FineGrainedBucket'> : 1.0801939848656208) (<class '__main__.FineGrainedBucket'> : 1.1616769918509502) (<class '__main__.FineGrainedBucket'> : 0.1915270623958506) (<class '__main__.FineGrainedBucket'> : 1.072870680166163) (<class '__main__.FineGrainedBucket'> : 0.2587175851266737) (<class '__main__.FineGrainedBucket'> : 0.26239460715970453) (<class '__main__.FineGrainedBucket'> : 1.0067994334997032) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.997881383476242) (<class '__main__.FineGrainedBucket'> : 0.24366762467015873) (<class '__main__.FineGrainedBucket'> : 1.366905297652925) (<class '__main__.FineGrainedBucket'> : 0.27889534776521296) (<class '__main__.FineGrainedBucket'> : 1.259248388514541) (<class '__main__.FineGrainedBucket'> : 0.2472561388799508) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.9997282064436395) (<class '__main__.FineGrainedBucket'> : 1.3316673278251874) (<class '__main__.FineGrainedBucket'> : 0.2651663493883289) (<class '__main__.FineGrainedBucket'> : 1.4128379851596244) 
26,26,depth-distinct,simulated_annealing_histogram_last,7.528605121,0.256882241,95,98.52884615,33.42548077,99,66.66666667,(<class '__main__.FineGrainedBucket'> : 0.256210638268947) (<class '__main__.FineGrainedBucket'> : 0.21216480023169082) (<class '__main__.FineGrainedBucket'> : 0.20052454778442544) (<class '__main__.FineGrainedBucket'> : 1.4150542666121408) (<class '__main__.FineGrainedBucket'> : 1.2493244889067576) (<class '__main__.FineGrainedBucket'> : 0.21475976879679387) (<class '__main__.FineGrainedBucket'> : 1.6032999003837587) (<class '__main__.FineGrainedBucket'> : 0.2693109040625753) (<class '__main__.FineGrainedBucket'> : 0.24289609433364387) (<class '__main__.FineGrainedBucket'> : 0.19685265305797775) (<class '__main__.FineGrainedBucket'> : 0.20754980866510833) (<class '__main__.FineGrainedBucket'> : 0.1915270623958506) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.9974691619481157) (<class '__main__.FineGrainedBucket'> : 0.2587175851266737) (<class '__main__.FineGrainedBucket'> : 0.26239460715970453) (<class '__main__.CoarseGrainedSimpleBucket'> : 76.99509997138011) (<class '__main__.FineGrainedBucket'> : 0.26368519711248767) (<class '__main__.FineGrainedBucket'> : 1.1911349915347664) (<class '__main__.FineGrainedBucket'> : 0.24438534909369355) (<class '__main__.FineGrainedBucket'> : 0.12657368139523187) (<class '__main__.FineGrainedBucket'> : 1.259248388514541) (<class '__main__.FineGrainedBucket'> : 0.2472561388799508) (<class '__main__.FineGrainedBucket'> : 0.1295551892452789) (<class '__main__.FineGrainedBucket'> : 0.2582135378058948) (<class '__main__.FineGrainedBucket'> : 0.2651663493883289) (<class '__main__.CoarseGrainedBloomBucket'> : 0.5171337868200727) 
26,26,width,greedy_avg_res_histogram,1.015917486,0.24970728,101,90.21634615,33.88221154,52,33.33333333,(<class '__main__.FineGrainedBucket'> : 0.26998591988815573) (<class '__main__.FineGrainedBucket'> : 0.6233023796153458) (<class '__main__.FineGrainedBucket'> : 0.184125866322067) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.9989454443048346) (<class '__main__.FineGrainedBucket'> : 0.2900240111784785) (<class '__main__.FineGrainedBucket'> : 2.500480989660875) (<class '__main__.FineGrainedBucket'> : 3.10393758667818) (<class '__main__.FineGrainedBucket'> : 0.3955796842318344) (<class '__main__.FineGrainedBucket'> : 2.116965545040351) (<class '__main__.FineGrainedBucket'> : 1.464249120261664) (<class '__main__.FineGrainedBucket'> : 0.12912706530830076) (<class '__main__.FineGrainedBucket'> : 0.5830731717524971) (<class '__main__.FineGrainedBucket'> : 0.49286028241708163) (<class '__main__.FineGrainedBucket'> : 0.1253906769506175) (<class '__main__.FineGrainedBucket'> : 0.5761686091024918) (<class '__main__.FineGrainedBucket'> : 0.5690688988709096) (<class '__main__.FineGrainedBucket'> : 0.5090320965006655) (<class '__main__.FineGrainedBucket'> : 0.5340732731368039) (<class '__main__.FineGrainedBucket'> : 0.1329979509416193) (<class '__main__.FineGrainedBucket'> : 0.5090320965006655) (<class '__main__.FineGrainedBucket'> : 0.5009817281517621) (<class '__main__.FineGrainedBucket'> : 0.09662077130874977) (<class '__main__.FineGrainedBucket'> : 0.40243505311718286) (<class '__main__.FineGrainedBucket'> : 0.2545471836163126) (<class '__main__.FineGrainedBucket'> : 0.05864658384544889) (<class '__main__.FineGrainedBucket'> : 0.07232132610440893) 
26,26,width,simulated_annealing_histogram_last,0.696611365,0.268624233,98,99.76923077,35.76923077,100,60,(<class '__main__.CoarseGrainedCountingBloomBucket'> : 0.4248848765510987) (<class '__main__.FineGrainedBucket'> : 0.05958451657044396) (<class '__main__.FineGrainedBucket'> : 0.184125866322067) (<class '__main__.FineGrainedBucket'> : 0.2593259197209566) (<class '__main__.FineGrainedBucket'> : 0.13453722417470282) (<class '__main__.FineGrainedBucket'> : 0.3760666811898174) (<class '__main__.FineGrainedBucket'> : 3.10393758667818) (<class '__main__.FineGrainedBucket'> : 0.3955796842318344) (<class '__main__.FineGrainedBucket'> : 0.3427959654178744) (<class '__main__.FineGrainedBucket'> : 0.25902014680513435) (<class '__main__.FineGrainedBucket'> : 0.12912706530830076) (<class '__main__.FineGrainedBucket'> : 0.12526421128359363) (<class '__main__.FineGrainedBucket'> : 0.49286028241708163) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.9997463739358431) (<class '__main__.FineGrainedBucket'> : 0.13113670888078666) (<class '__main__.FineGrainedBucket'> : 0.5690688988709096) (<class '__main__.FineGrainedBucket'> : 0.5090320965006655) (<class '__main__.FineGrainedBucket'> : 0.12463094571752406) (<class '__main__.FineGrainedBucket'> : 0.1329979509416193) (<class '__main__.FineGrainedBucket'> : 0.12127934444425816) (<class '__main__.FineGrainedBucket'> : 0.11083162578468274) (<class '__main__.FineGrainedBucket'> : 0.09662077130874977) (<class '__main__.FineGrainedBucket'> : 0.40243505311718286) (<class '__main__.FineGrainedBucket'> : 0.06269583532982319) (<class '__main__.FineGrainedBucket'> : 0.05864658384544889) (<class '__main__.FineGrainedBucket'> : 0.28780220279890867) 
