max # buckets,actual # buckets,ground truth split strategy,algorithm_[first solution construction],overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
14,14,depth-count,greedy_avg_res_histogram,7.317109473,0.130886888,56,45.63461538,18.17307692,78,0,(<class '__main__.FineGrainedBucket'> : 7.688369723591861) (<class '__main__.FineGrainedBucket'> : 9.658718949826412) (<class '__main__.FineGrainedBucket'> : 2.6401766909804865) (<class '__main__.FineGrainedBucket'> : 2.4290832119773427) (<class '__main__.FineGrainedBucket'> : 7.287799851453308) (<class '__main__.FineGrainedBucket'> : 10.335611148167951) (<class '__main__.FineGrainedBucket'> : 5.050003565926916) (<class '__main__.FineGrainedBucket'> : 8.426022372773486) (<class '__main__.FineGrainedBucket'> : 8.732201507527332) (<class '__main__.FineGrainedBucket'> : 5.190151879370813) (<class '__main__.FineGrainedBucket'> : 7.946808406984386) (<class '__main__.FineGrainedBucket'> : 6.19245886743204) (<class '__main__.FineGrainedBucket'> : 9.17898091480729) (<class '__main__.FineGrainedBucket'> : 6.553985224385421) 
14,14,depth-count,simulated_annealing_histogram_last,5.644641857,0.130887029,56,45.63461538,18.17307692,100,0,(<class '__main__.FineGrainedBucket'> : 7.688369723591861) (<class '__main__.FineGrainedBucket'> : 9.658718949826412) (<class '__main__.FineGrainedBucket'> : 7.794354029750574) (<class '__main__.FineGrainedBucket'> : 9.066325305418488) (<class '__main__.FineGrainedBucket'> : 7.287799851453308) (<class '__main__.FineGrainedBucket'> : 10.335611148167951) (<class '__main__.FineGrainedBucket'> : 5.050003565926916) (<class '__main__.FineGrainedBucket'> : 3.288448159138394) (<class '__main__.FineGrainedBucket'> : 8.732201507527332) (<class '__main__.FineGrainedBucket'> : 1.8667285856094948) (<class '__main__.FineGrainedBucket'> : 7.946808406984386) (<class '__main__.FineGrainedBucket'> : 6.19245886743204) (<class '__main__.FineGrainedBucket'> : 2.4036606529916242) (<class '__main__.FineGrainedBucket'> : 1.6960716989508478) 
14,14,depth-distinct,greedy_avg_res_histogram,6.518335129,0.130886888,56,45.63461538,18.17307692,78,0,(<class '__main__.FineGrainedBucket'> : 6.523618268102287) (<class '__main__.FineGrainedBucket'> : 18.670414105346158) (<class '__main__.FineGrainedBucket'> : 6.957255931972756) (<class '__main__.FineGrainedBucket'> : 2.287463430786273) (<class '__main__.FineGrainedBucket'> : 18.064055093962907) (<class '__main__.FineGrainedBucket'> : 11.980837257145206) (<class '__main__.FineGrainedBucket'> : 3.4086533048901266) (<class '__main__.FineGrainedBucket'> : 2.365941284995741) (<class '__main__.FineGrainedBucket'> : 4.820632219004917) (<class '__main__.FineGrainedBucket'> : 11.64039087383512) (<class '__main__.FineGrainedBucket'> : 8.173216487099038) (<class '__main__.FineGrainedBucket'> : 2.6500501034475756) (<class '__main__.FineGrainedBucket'> : 0.7750571116974084) (<class '__main__.FineGrainedBucket'> : 3.071140238166838) 
14,14,depth-distinct,simulated_annealing_histogram_middle,6.549039279,0.190727126,47,85.89423077,21.63221154,99,100,(<class '__main__.CoarseGrainedBloomBucket'> : 8.96145705842363) (<class '__main__.FineGrainedBucket'> : 5.727390620233542) (<class '__main__.FineGrainedBucket'> : 6.957255931972756) (<class '__main__.FineGrainedBucket'> : 2.287463430786273) (<class '__main__.CoarseGrainedDistinctBucket'> : 22.967744983008917) (<class '__main__.FineGrainedBucket'> : 3.369258274932937) (<class '__main__.FineGrainedBucket'> : 3.4086533048901266) (<class '__main__.FineGrainedBucket'> : 2.365941284995741) (<class '__main__.CoarseGrainedDistinctBucket'> : 9.993290613411451) (<class '__main__.FineGrainedBucket'> : 11.64039087383512) (<class '__main__.FineGrainedBucket'> : 2.9435830465857262) (<class '__main__.FineGrainedBucket'> : 2.6500501034475756) (<class '__main__.FineGrainedBucket'> : 0.7750571116974084) (<class '__main__.FineGrainedBucket'> : 3.071140238166838) 
14,14,depth-distinct,simulated_annealing_histogram_last,5.966089913,0.168932599,53,72.17307692,20.13701923,96,33.33333333,(<class '__main__.FineGrainedBucket'> : 6.523618268102287) (<class '__main__.FineGrainedBucket'> : 18.670414105346158) (<class '__main__.FineGrainedBucket'> : 6.957255931972756) (<class '__main__.FineGrainedBucket'> : 2.287463430786273) (<class '__main__.CoarseGrainedBloomBucket'> : 17.96990905174513) (<class '__main__.FineGrainedBucket'> : 3.369258274932937) (<class '__main__.FineGrainedBucket'> : 3.4086533048901266) (<class '__main__.FineGrainedBucket'> : 0.7499679625359287) (<class '__main__.FineGrainedBucket'> : 4.820632219004917) (<class '__main__.FineGrainedBucket'> : 11.64039087383512) (<class '__main__.FineGrainedBucket'> : 8.173216487099038) (<class '__main__.FineGrainedBucket'> : 2.6500501034475756) (<class '__main__.FineGrainedBucket'> : 2.6731820083030304) (<class '__main__.FineGrainedBucket'> : 0.8737055495122734) 
14,14,width,greedy_avg_res_histogram,14.24709897,0.168932459,53,72.17307692,20.13701923,74,33.33333333,(<class '__main__.FineGrainedBucket'> : 40.09534962734923) (<class '__main__.CoarseGrainedBloomBucket'> : 22.980086271979097) (<class '__main__.FineGrainedBucket'> : 6.1604804353001335) (<class '__main__.FineGrainedBucket'> : 3.022435036259398) (<class '__main__.FineGrainedBucket'> : 1.1326602127229646) (<class '__main__.FineGrainedBucket'> : 6.014394214430859) (<class '__main__.FineGrainedBucket'> : 24.177925654371613) (<class '__main__.FineGrainedBucket'> : 4.562080820735122) (<class '__main__.FineGrainedBucket'> : 2.3776465931621815) (<class '__main__.FineGrainedBucket'> : 2.815618523303674) (<class '__main__.FineGrainedBucket'> : 0.9099589778367412) (<class '__main__.FineGrainedBucket'> : 0.4391279383431027) (<class '__main__.FineGrainedBucket'> : 0.863961859541179) (<class '__main__.FineGrainedBucket'> : 0.8482344437269645) 
14,14,width,simulated_annealing_histogram_last,8.173831067,0.190727126,47,85.89423077,21.63221154,99,100,(<class '__main__.FineGrainedBucket'> : 10.329687023506088) (<class '__main__.FineGrainedBucket'> : 25.12311096730118) (<class '__main__.FineGrainedBucket'> : 6.1604804353001335) (<class '__main__.FineGrainedBucket'> : 0.8875153040094829) (<class '__main__.FineGrainedBucket'> : 1.1326602127229646) (<class '__main__.FineGrainedBucket'> : 6.014394214430859) (<class '__main__.FineGrainedBucket'> : 6.134902192498616) (<class '__main__.CoarseGrainedDistinctBucket'> : 7.993576243776182) (<class '__main__.CoarseGrainedDistinctBucket'> : 3.996483305786417) (<class '__main__.FineGrainedBucket'> : 0.806110510897718) (<class '__main__.FineGrainedBucket'> : 0.9099589778367412) (<class '__main__.FineGrainedBucket'> : 0.8808453345217985) (<class '__main__.CoarseGrainedBloomBucket'> : 0.9016850551415629) (<class '__main__.FineGrainedBucket'> : 0.8482344437269645) 
16,16,depth-count,greedy_avg_res_histogram,6.395109891,0.187630636,61,78.69230769,22.73317308,93,33.33333333,(<class '__main__.FineGrainedBucket'> : 2.1455057449071258) (<class '__main__.FineGrainedBucket'> : 9.786430428739626) (<class '__main__.FineGrainedBucket'> : 7.244340173886507) (<class '__main__.FineGrainedBucket'> : 2.097185402455712) (<class '__main__.FineGrainedBucket'> : 9.158818964626082) (<class '__main__.FineGrainedBucket'> : 10.504612370742231) (<class '__main__.FineGrainedBucket'> : 6.175540143176012) (<class '__main__.FineGrainedBucket'> : 4.468018209762808) (<class '__main__.FineGrainedBucket'> : 4.819229247831815) (<class '__main__.CoarseGrainedBloomBucket'> : 10.994919943961607) (<class '__main__.FineGrainedBucket'> : 5.674764256406008) (<class '__main__.FineGrainedBucket'> : 7.6032114674195945) (<class '__main__.FineGrainedBucket'> : 6.231172758040424) (<class '__main__.FineGrainedBucket'> : 5.979644468810396) (<class '__main__.FineGrainedBucket'> : 7.492588145762053) (<class '__main__.FineGrainedBucket'> : 1.5542459419565355) 
16,16,depth-count,simulated_annealing_histogram_last,5.784259888,0.198527934,58,85.55288462,23.48076923,100,66.66666667,(<class '__main__.FineGrainedBucket'> : 2.1455057449071258) (<class '__main__.CoarseGrainedDistinctBucket'> : 16.895184645597208) (<class '__main__.FineGrainedBucket'> : 7.244340173886507) (<class '__main__.FineGrainedBucket'> : 7.034318890106226) (<class '__main__.FineGrainedBucket'> : 9.158818964626082) (<class '__main__.FineGrainedBucket'> : 10.504612370742231) (<class '__main__.FineGrainedBucket'> : 6.175540143176012) (<class '__main__.FineGrainedBucket'> : 4.468018209762808) (<class '__main__.FineGrainedBucket'> : 4.819229247831815) (<class '__main__.FineGrainedBucket'> : 2.808934271260059) (<class '__main__.FineGrainedBucket'> : 1.5775455929919882) (<class '__main__.FineGrainedBucket'> : 7.6032114674195945) (<class '__main__.FineGrainedBucket'> : 6.231172758040424) (<class '__main__.FineGrainedBucket'> : 5.979644468810396) (<class '__main__.CoarseGrainedBloomBucket'> : 10.99458282981921) (<class '__main__.FineGrainedBucket'> : 1.5542459419565355) 
16,16,depth-distinct,greedy_avg_res_histogram,5.926220354,0.149584995,64,52.15384615,20.76923077,86,0,(<class '__main__.FineGrainedBucket'> : 3.2969329109372665) (<class '__main__.FineGrainedBucket'> : 20.426965448022578) (<class '__main__.FineGrainedBucket'> : 5.3330212934093115) (<class '__main__.FineGrainedBucket'> : 2.7743791199833514) (<class '__main__.FineGrainedBucket'> : 17.41569547236207) (<class '__main__.FineGrainedBucket'> : 2.4283861471581596) (<class '__main__.FineGrainedBucket'> : 6.596435808938568) (<class '__main__.FineGrainedBucket'> : 3.5193535151690165) (<class '__main__.FineGrainedBucket'> : 2.601094718543239) (<class '__main__.FineGrainedBucket'> : 3.8152969067455267) (<class '__main__.FineGrainedBucket'> : 8.882087019330232) (<class '__main__.FineGrainedBucket'> : 12.26810578071676) (<class '__main__.FineGrainedBucket'> : 1.4044151811765733) (<class '__main__.FineGrainedBucket'> : 2.4717380566664335) (<class '__main__.FineGrainedBucket'> : 2.1398769595925446) (<class '__main__.FineGrainedBucket'> : 1.5876414665293956) 
